Feature,Comparison,Null_Hypothesis,Welch_F,ddof1,ddof2,P_value,np2,Result,ND_N_CSV,ND_Mean,CD_N_CSV,CD_Mean,ED_N_CSV,ED_Mean,MD_N_CSV,MD_Mean
gaze_1_y,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (gaze_1_y)은 모두 같다.",2.916,3,21.3963,0.05762366345680972,0.150591,기각하지 못함 (차이 없음),12,0.1424,11.0,0.1875,10.0,0.1284,10.0,0.2856
gaze_1_z,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (gaze_1_z)은 모두 같다.",0.1378,2,19.1322,0.8721128720922948,0.007545,기각하지 못함 (차이 없음),12,-0.963,11.0,-0.962,10.0,-0.9691,,
gaze_1_z,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (gaze_1_z)은 모두 같다.",1.9083,2,19.2103,0.17541384782101613,0.08241,기각하지 못함 (차이 없음),12,-0.963,11.0,-0.962,,,10.0,-0.9399
gaze_1_z,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (gaze_1_z)은 모두 같다.",2.8597,2,19.0552,0.08202287439204954,0.16106,기각하지 못함 (차이 없음),12,-0.963,,,10.0,-0.9691,10.0,-0.9399
gaze_1_z,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (gaze_1_z)은 모두 같다.",1.8946,3,21.307,0.16101394615482875,0.093879,기각하지 못함 (차이 없음),12,-0.963,11.0,-0.962,10.0,-0.9691,10.0,-0.9399
gaze_angle_x,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (gaze_angle_x)은 모두 같다.",0.1388,2,19.438,0.8712197994821907,0.011702,기각하지 못함 (차이 없음),12,0.0788,11.0,0.0573,10.0,0.0679,,
gaze_angle_x,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (gaze_angle_x)은 모두 같다.",0.7026,2,18.8047,0.5078196680031489,0.035177,기각하지 못함 (차이 없음),12,0.0788,11.0,0.0573,,,10.0,0.0411
gaze_angle_x,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (gaze_angle_x)은 모두 같다.",0.9752,2,19.0388,0.39519019052727783,0.049702,기각하지 못함 (차이 없음),12,0.0788,,,10.0,0.0679,10.0,0.0411
gaze_angle_x,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (gaze_angle_x)은 모두 같다.",0.6336,3,21.4005,0.6014071708678792,0.032767,기각하지 못함 (차이 없음),12,0.0788,11.0,0.0573,10.0,0.0679,10.0,0.0411
gaze_angle_y,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (gaze_angle_y)은 모두 같다.",0.5433,2,19.759,0.5892554083916771,0.036356,기각하지 못함 (차이 없음),12,0.1522,11.0,0.1916,10.0,0.1173,,
gaze_angle_y,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (gaze_angle_y)은 모두 같다.",3.4404,2,19.6279,0.05237817662174145,0.147799,기각하지 못함 (차이 없음),12,0.1522,11.0,0.1916,,,10.0,0.2941
gaze_angle_y,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (gaze_angle_y)은 모두 같다.",5.5666,2,18.8106,0.012619250316854,0.232007,기각 (차이 있음),12,0.1522,,,10.0,0.1173,10.0,0.2941
