experiment,ablation,removed_type,removed_name,removed_group,removed_groups,num_removed_groups,num_features,acc_mean,acc_std,bacc_mean,bacc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,spec_mean,spec_std,auc_mean,auc_std
3Class_ND_CDED_MD,feature_minus_gaze_angle_y,feature,gaze_angle_y,GAZE,GAZE,1,38,0.8313071738846446,0.03422880773931338,0.8313071738846446,0.03422880773931334,0.8394537776277392,0.03341907668352973,0.8313071738846446,0.03422880773931334,0.8326304410094663,0.034051327056924395,0.9156535869423224,0.01711440386965669,0.9463592453831661,0.01590399326957781
3Class_ND_CDED_MD,feature_minus_gaze_vel,feature,gaze_vel,GAZE,GAZE,1,38,0.8355380470596554,0.0342439718503002,0.8355380470596554,0.034243971850300196,0.8420744798479831,0.03411790757730661,0.8355380470596554,0.034243971850300196,0.8366868972455865,0.03420470528890787,0.9177690235298279,0.01712198592515013,0.94587537958481,0.016205568955525444
3Class_ND_CDED_MD,feature_minus_gaze_amp,feature,gaze_amp,GAZE,GAZE,1,38,0.8336309097487211,0.03678241545685659,0.8336309097487213,0.03678241545685661,0.8408114268102731,0.03637368458293669,0.8336309097487213,0.03678241545685661,0.8348816153141584,0.03674953173632426,0.9168154548743607,0.01839120772842828,0.9452861713123923,0.016787992673221817
3Class_ND_CDED_MD,feature_minus_gaze_acc,feature,gaze_acc,GAZE,GAZE,1,38,0.8327141336690949,0.03204101008739914,0.8327141336690946,0.0320410100873991,0.8404328594892952,0.03191111638456889,0.8327141336690946,0.0320410100873991,0.8339784801102418,0.031985834041113693,0.9163570668345475,0.01602050504369958,0.9453702002469463,0.016296972658323073
3Class_ND_CD_MD,baseline_all_features,baseline,none,none,none,0,39,0.7896882543641182,0.033938427163209196,0.7896882543641183,0.033938427163209224,0.8056253393422483,0.026299483556360474,0.7896882543641183,0.033938427163209224,0.7882218106871147,0.035302176242744066,0.894844127182059,0.01696921358160457,0.9304437020053671,0.014983707163986278
3Class_ND_CD_MD,group_minus_AU_POSE,group,AU_POSE,"AU,POSE","AU,POSE",2,16,0.6587848955605619,0.030368362945085596,0.6587848955605619,0.030368362945085596,0.670629130888556,0.030523919153061522,0.6587848955605619,0.030368362945085596,0.6566202212580483,0.03344438051939112,0.829392447780281,0.015184181472542838,0.8400046414036714,0.021436379601484038
3Class_ND_CD_MD,group_minus_AU_VEHICLE,group,AU_VEHICLE,"AU,VEHICLE","AU,VEHICLE",2,17,0.5846504701079688,0.03611577402548077,0.5846504701079688,0.036115774025480746,0.6007660560188078,0.04600032713665273,0.5846504701079688,0.036115774025480746,0.5678318113326488,0.049371690925072105,0.7923252350539844,0.01805788701274039,0.7926903230846641,0.02616276107517158
3Class_ND_CD_MD,group_minus_AU_GAZE,group,AU_GAZE,"AU,GAZE","AU,GAZE",2,11,0.5846463513052899,0.04743761885232481,0.5846463513052899,0.04743761885232481,0.5901178106825178,0.0633140947390225,0.5846463513052899,0.04743761885232481,0.5672545625220597,0.0604015203510697,0.792323175652645,0.023718809426162436,0.7855713516802708,0.03318445884625041
3Class_ND_CD_MD,group_minus_POSE_VEHICLE,group,POSE_VEHICLE,"POSE,VEHICLE","POSE,VEHICLE",2,28,0.7786062775917457,0.030738309538704364,0.7786062775917457,0.03073830953870438,0.7918351182709181,0.026086967453473657,0.7786062775917457,0.03073830953870438,0.7783630897505561,0.030144317452873437,0.8893031387958729,0.015369154769352128,0.9189600785841263,0.01863447767157832
3Class_ND_CD_MD,group_minus_POSE_GAZE,group,POSE_GAZE,"POSE,GAZE","POSE,GAZE",2,22,0.7856645604987011,0.017848416893684486,0.7856645604987011,0.01784841689368451,0.798337918642044,0.014323799825707412,0.7856645604987011,0.01784841689368451,0.7863324859652656,0.017473630989294046,0.8928322802493506,0.008924208446842278,0.9223069165107987,0.008787870207582671
3Class_ND_CD_MD,group_minus_VEHICLE_GAZE,group,VEHICLE_GAZE,"VEHICLE,GAZE","VEHICLE,GAZE",2,23,0.7342700593101977,0.035705463031621774,0.7342700593101978,0.035705463031621795,0.7552383105709886,0.028637028539963832,0.7342700593101978,0.035705463031621795,0.7322202878165871,0.03637242648515107,0.867135029655099,0.017852731515810884,0.9037145669863464,0.01952895149789438
3Class_ND_CD_MD,feature_minus_AU01_r,feature,AU01_r,AU,AU,1,38,0.7906168911989488,0.03458415354684491,0.7906168911989488,0.0345841535468449,0.8052923144435168,0.02769532022625367,0.7906168911989488,0.0345841535468449,0.7889175013240781,0.03623665611928922,0.8953084455994744,0.01729207677342244,0.9306747604326583,0.013883657409887123
3Class_ND_CD_MD,feature_minus_AU02_r,feature,AU02_r,AU,AU,1,38,0.7805207034009521,0.03631250544675741,0.7805207034009524,0.036312505446757445,0.7969238554362744,0.028890554007584602,0.7805207034009524,0.036312505446757445,0.7787746639011196,0.03812534243702342,0.8902603517004761,0.018156252723378723,0.9291189342080045,0.01359549503310299
3Class_ND_CD_MD,feature_minus_AU04_r,feature,AU04_r,AU,AU,1,38,0.7906774838454564,0.036205473928296775,0.7906774838454566,0.03620547392829678,0.8056464051865351,0.03005772983275198,0.7906774838454566,0.03620547392829678,0.7892823665567932,0.0376899592187635,0.8953387419227283,0.01810273696414836,0.9313306861466613,0.01438894861309047
3Class_ND_CD_MD,feature_minus_AU05_r,feature,AU05_r,AU,AU,1,38,0.7886517161474511,0.03352705857745758,0.7886517161474511,0.03352705857745756,0.8043834969067927,0.026415081005999094,0.7886517161474511,0.03352705857745756,0.7871854722470648,0.03512174742879112,0.8943258580737256,0.01676352928872881,0.9308230127013152,0.014120042746397705
